Va,r1,r2,r3,r4,r5,r6
2500,3.16,6.63,9.77,14.13,NA,NA
3000,3.39,6.51,9.43,11.99,16.05,24.88
3100,3.15,6.31,9.7,13.23,16.06,NA
3200,3.37,6.42,9.49,NA,16.33,23.87
3300,3.21,6.9,9.89,12.56,15.87,24.96
3400,3.05,6.16,9.67,NA,15.09,23.79
3500,3.18,6.57,9.17,14.11,NA,24.16
3600,3.32,6.52,9.57,13.49,NA,24.18
3700,3.02,6.94,9.79,13.6,NA,23.44
3800,3.26,6.53,9.64,14.04,16.85,23.13
3900,3.02,6.78,9.55,13.91,NA,23.47
4000,3.02,6.96,9.45,13.28,NA,23.53
4100,3.17,6.87,10.04,13.62,NA,22.72
4200,3.04,6.08,9.24,13.29,NA,21.24
4300,3.07,6.05,9.18,12.33,NA,22.34
4400,3.08,6.42,9.67,13.46,NA,22.03
4500,3.12,6.98,NA,12.49,NA,20.13
4600,3.05,7.12,NA,12.26,NA,20.77
4700,3.26,6.38,NA,12.4,NA,20
4800,2.77,7.65,NA,11.88,NA,20.25
4900,NA,6.47,NA,12.94,NA,20.72
