Charge,vf,vr
4.98E-19,0.059045928,-0.081043431
6.73E-19,0.101679607,-0.043251796
4.85E-19,0.034191193,-0.146360577
1.93E-19,0.028868576,-0.049201632
1.91E-19,0.023798468,-0.061378735
7.99E-19,0.033808765,-0.26547817
2.09E-19,0.015962166,-0.098023959
1.14E-18,0.059057168,-0.262840855
3.60E-19,0.062519218,-0.036212926
8.56E-19,0.025506144,-0.343276817
1.68E-19,0.006548368,-0.136222429
2.44E-19,0.017021421,-0.111592815
9.01E-19,0.035504741,-0.294149061
7.00E-19,0.029047171,-0.254373725
2.18E-19,0.0155285,-0.105369767
8.74E-19,0.028558161,-0.327998882
3.28E-19,0.051166706,-0.048797206
5.44E-19,0.038349531,-0.153312234
4.17E-19,0.033750554,-0.121921381
7.05E-19,0.053546552,-0.15545061
3.48E-19,0.022919289,-0.134937312
1.55E-19,0.018156182,-0.060988616
4.73E-19,0.013736837,-0.263298971
1.96E-19,0.016424642,-0.088828146
2.07E-19,0.015686877,-0.097643713
1.33E-19,0.003824754,-0.143518403
7.02E-19,0.059880016,-0.137079174
5.19E-19,0.028677651,-0.181720089
8.95E-19,0.030564951,-0.321279314
3.65E-19,0.00597729,-0.318219511
2.17E-19,0.008956878,-0.148230456
2.11E-19,0.012551039,-0.116743253
1.75E-19,0.020839739,-0.062491976
2.07E-19,0.026008325,-0.062170864
1.69E-18,0.125038436,-0.203846186
1.87E-19,0.015119027,-0.089320207
1.79E-19,0.01993683,-0.067012715
4.79E-19,0.027956937,-0.168944837
5.33E-19,0.047120966,-0.121602493
1.79E-19,0.01993683,-0.067012715
1.72E-19,0.005684563,-0.150636455
1.69E-19,0.012712988,-0.090160059
1.95E-19,0.024164598,-0.061850563
1.74E-19,0.006776513,-0.138128249
1.55E-19,0.018142832,-0.061372587
1.62E-19,0.0148619,-0.076912321
3.46E-19,0.012405355,-0.202103911
6.17E-19,0.01393081,-0.346843475
5.27E-19,0.03563452,-0.15689785
1.43E-19,0.016063966,-0.061876016
2.13E-19,0.009747396,-0.138711069
1.20E-19,0.004956375,-0.112768124
1.73E-19,0.025489929,-0.049217257
1.96E-19,0.019969241,-0.075528821
3.96E-19,0.016093549,-0.198342298
3.90E-19,0.024301897,-0.147450296
4.54E-19,0.013151785,-0.258671038
8.01E-19,0.026242635,-0.313490725
2.14E-19,0.026827364,-0.062965584
2.41E-19,0.009852566,-0.157069887
1.09E-18,0.052673942,-0.274158348
7.12E-19,0.012095221,-0.432603258
5.00E-19,0.014454187,-0.271505117
3.11E-19,0.024965988,-0.110314864
2.33E-19,0.003365852,-0.272817356
2.64E-19,0.00360642,-0.298506664
1.69E-19,0.005358626,-0.152916906
2.31E-19,0.002440112,-0.318533299
2.39E-19,0.00475549,-0.233432982
1.84E-19,0.018591363,-0.07387938
2.49E-19,0.002551161,-0.335906285
1.73E-19,0.00554804,-0.154335573
5.52E-19,0.017093989,-0.272842633
1.12E-18,0.018157427,-0.550678864
9.31E-19,0.128505748,-0.049747441
1.42E-19,0.021252627,-0.045653394
3.41E-19,0.029918074,-0.104951243
4.90E-19,0.058460236,-0.079962852
1.66E-18,0.137598413,-0.169123656
8.14E-19,0.128511726,-0.026703735
7.11E-19,0.082997156,-0.085674484
9.05E-19,0.087459369,-0.121672166
1.89E-18,0.178640413,-0.126322962
5.05E-19,0.038553518,-0.137237831
2.72E-19,0.023365768,-0.098049687
4.37E-19,0.055547193,-0.071047133
1.70E-18,0.182772232,-0.088969656
3.22E-19,0.036717636,-0.078188364
1.91E-19,0.026074843,-0.054904071
1.66E-19,0.024478424,-0.048191897
9.53E-19,0.119493359,-0.069295538
3.71E-19,0.061028399,-0.041885303
4.15E-19,0.03401781,-0.119944277
5.00E-19,0.031821951,-0.159925703
7.17E-19,0.050396755,-0.168175839
6.92E-19,0.058988989,-0.136200461
6.03E-19,0.025075459,-0.23560483
4.63E-19,0.022407173,-0.189385701
4.12E-19,0.024833184,-0.154214071
4.21E-19,0.029748085,-0.137436151
4.06E-19,0.042837242,-0.091482923
1.95E-19,0.02636138,-0.055788036
2.39E-19,0.043563297,-0.034993803
3.91E-19,0.029160853,-0.127605004
4.23E-19,0.024273247,-0.161736663
4.26E-19,0.032882285,-0.128396133
5.65E-19,0.072428832,-0.071641252
5.40E-19,0.039665685,-0.146376616
3.67E-19,0.043976948,-0.07611551
5.73E-19,0.028684546,-0.203721928
6.83E-19,0.019684536,-0.31373996
4.31E-19,0.018834107,-0.196400187
1.95E-19,0.028749414,-0.049932015
2.12E-19,0.040141016,-0.03245635
4.70E-19,0.029706272,-0.156928728
2.19E-19,0.029334943,-0.058412216
6.11E-19,0.057848038,-0.116146663
2.11E-19,0.019091131,-0.085367714
1.17E-18,0.056417204,-0.281615455
2.40E-19,0.016447485,-0.111612014
4.05E-19,0.030791409,-0.127291769
3.61E-19,0.044243822,-0.073611163
8.66E-19,0.070019688,-0.154526106
5.23E-19,0.05789236,-0.091269308
1.95E-19,0.019599439,-0.075774572
2.01E-19,0.029830298,-0.049932721
1.79E-19,0.039230754,-0.02269595
1.79E-19,0.002080284,-0.267814542
1.57E-19,0.004755342,-0.151719625
1.77E-19,0.009320242,-0.116508731
1.92E-19,0.010592482,-0.11710172
3.19E-19,0.029959588,-0.0966005
5.60E-19,0.031955726,-0.182897696
2.18E-19,0.025228881,-0.06895368
1.94E-19,0.011387191,-0.113053139
5.30E-19,0.017367708,-0.258736941
2.12E-19,0.02034293,-0.081595543
2.06E-19,0.037949227,-0.034485521
2.41E-19,0.020624269,-0.094318087
4.81E-19,0.060541874,-0.073433112
3.12E-19,0.057423323,-0.031853182
1.88E-19,0.020427523,-0.069903035
3.53E-19,0.029467809,-0.111611174
3.96E-19,0.056403955,-0.057922805
3.73E-19,0.041323167,-0.084579949
4.20E-19,0.014980183,-0.220390224
2.94E-19,0.012483674,-0.167953143
4.47E-19,0.028188287,-0.154548609
4.01E-19,0.008014266,-0.299595102
7.32E-19,0.017798238,-0.358336048
6.07E-19,0.019132634,-0.282113224
1.73E-19,0.016227818,-0.076681723
2.19E-19,0.002869603,-0.277253903
9.79E-19,0.021399706,-0.437869106
4.14E-19,0.014685614,-0.219399372
5.02E-19,0.019972864,-0.223834929
1.71E-19,0.027461528,-0.043161062
1.45E-19,0.004075658,-0.15174175
2.87E-19,0.004755954,-0.28050078
1.45E-18,0.116187781,-0.176290112
1.68E-19,0.009602133,-0.108016291
8.30E-20,-0.001062728,-0.173644277
3.29E-19,0.028434409,-0.105410553
2.51E-19,0.009646168,-0.165948955
2.10E-19,0.007293883,-0.161239379
2.85E-19,0.016070367,-0.138203652
3.94E-19,0.015196667,-0.204008081
4.82E-19,0.024324963,-0.187463286
8.06E-19,0.028433219,-0.299590977
7.12E-19,0.054024082,-0.156151872
1.77E-19,0.025826425,-0.049931748
2.00E-18,0.052348491,-0.545923522
8.31E-19,0.04208453,-0.235724376
8.80E-19,0.02269595,-0.378061098
4.99E-19,0.02700686,-0.181061411
1.97E-19,0.033986852,-0.039251284
5.07E-19,0.023301175,-0.204482554
7.86E-20,-0.000973017,-0.171935757
1.54E-19,0.004262828,-0.157113709
1.23E-19,0.002091624,-0.18296255
1.41E-19,0.016983946,-0.057238914
1.03E-18,0.049070799,-0.26889639
1.81E-19,0.028295426,-0.045652261
3.22E-19,0.035406149,-0.082124629
4.11E-19,0.02110507,-0.173150895
