"","Charge","vf","vr"
"1",4.98e-19,0.059045928,-0.081043431
"2",6.73e-19,0.101679607,-0.043251796
"3",4.85e-19,0.034191193,-0.146360577
"4",1.93e-19,0.028868576,-0.049201632
"5",1.91e-19,0.023798468,-0.061378735
"6",7.99e-19,0.033808765,-0.26547817
"7",2.09e-19,0.015962166,-0.098023959
"8",3.6e-19,0.062519218,-0.036212926
"9",8.56e-19,0.025506144,-0.343276817
"10",1.68e-19,0.006548368,-0.136222429
"11",2.44e-19,0.017021421,-0.111592815
"12",9.01e-19,0.035504741,-0.294149061
"13",7e-19,0.029047171,-0.254373725
"14",2.18e-19,0.0155285,-0.105369767
"15",8.74e-19,0.028558161,-0.327998882
"16",3.28e-19,0.051166706,-0.048797206
"17",5.44e-19,0.038349531,-0.153312234
"18",4.17e-19,0.033750554,-0.121921381
"19",7.05e-19,0.053546552,-0.15545061
"20",3.48e-19,0.022919289,-0.134937312
"21",1.55e-19,0.018156182,-0.060988616
"22",4.73e-19,0.013736837,-0.263298971
"23",1.96e-19,0.016424642,-0.088828146
"24",2.07e-19,0.015686877,-0.097643713
"25",1.33e-19,0.003824754,-0.143518403
"26",7.02e-19,0.059880016,-0.137079174
"27",5.19e-19,0.028677651,-0.181720089
"28",8.95e-19,0.030564951,-0.321279314
"29",3.65e-19,0.00597729,-0.318219511
"30",2.17e-19,0.008956878,-0.148230456
"31",2.11e-19,0.012551039,-0.116743253
"32",1.75e-19,0.020839739,-0.062491976
"33",2.07e-19,0.026008325,-0.062170864
"34",1.87e-19,0.015119027,-0.089320207
"35",1.79e-19,0.01993683,-0.067012715
"36",4.79e-19,0.027956937,-0.168944837
"37",5.33e-19,0.047120966,-0.121602493
"38",1.79e-19,0.01993683,-0.067012715
"39",1.72e-19,0.005684563,-0.150636455
"40",1.69e-19,0.012712988,-0.090160059
"41",1.95e-19,0.024164598,-0.061850563
"42",1.74e-19,0.006776513,-0.138128249
"43",1.55e-19,0.018142832,-0.061372587
"44",1.62e-19,0.0148619,-0.076912321
"45",3.46e-19,0.012405355,-0.202103911
"46",6.17e-19,0.01393081,-0.346843475
"47",5.27e-19,0.03563452,-0.15689785
"48",1.43e-19,0.016063966,-0.061876016
"49",2.13e-19,0.009747396,-0.138711069
"50",1.2e-19,0.004956375,-0.112768124
"51",1.73e-19,0.025489929,-0.049217257
"52",1.96e-19,0.019969241,-0.075528821
"53",3.96e-19,0.016093549,-0.198342298
"54",3.9e-19,0.024301897,-0.147450296
"55",4.54e-19,0.013151785,-0.258671038
"56",8.01e-19,0.026242635,-0.313490725
"57",2.14e-19,0.026827364,-0.062965584
"58",2.41e-19,0.009852566,-0.157069887
"59",7.12e-19,0.012095221,-0.432603258
"60",5e-19,0.014454187,-0.271505117
"61",3.11e-19,0.024965988,-0.110314864
"62",2.33e-19,0.003365852,-0.272817356
"63",2.64e-19,0.00360642,-0.298506664
"64",1.69e-19,0.005358626,-0.152916906
"65",2.31e-19,0.002440112,-0.318533299
"66",2.39e-19,0.00475549,-0.233432982
"67",1.84e-19,0.018591363,-0.07387938
